bloque;termino;n_muestras;ocurrencias
5;vigilance plan;6;1862
5;compliance officer;6;1816
5;social dialogue;6;1810
5;trade union;6;1748
5;tcfd;6;1744
5;occupational health;6;1729
5;nonfinancial;6;1721
5;article\s*[689]\b;6;1707
5;circulari\w+;6;1673
5;sbti;6;1669
5;data privacy;6;1656
5;circularity;6;1652
5;paris\s+agreement;6;1651
5;information security;6;1649
5;material topic;6;1632
5;carbon neutrality;6;1597
5;wastewater;6;1594
5;species;6;1590
5;ilo;6;1577
5;deforestation;6;1551
5;equal\s+opportunit\w+;6;1550
5;methane;6;1501
5;conflict of interest;6;1499
5;double materiality;6;1496
5;social impact;6;1489
5;transition plan;6;1486
5;csrd;6;1454
5;compliance program;6;1452
5;training program;6;1433
5;money laundering;6;1432
5;injury;6;1357
5;decarbonisation;6;1353
5;nutrition;6;1331
5;animal welfare;6;1322
5;iso\s*14001\b;6;1278
5;energy management;6;1274
5;antitrust;6;1252
5;customer satisfaction;6;1247
5;biofuel;6;1232
5;photovoltaic;6;1231
5;science based target;6;1226
5;business ethics;6;1223
5;whistleblower;6;1200
5;global warming;6;1120
5;succession planning;6;1108
5;freedom of association;6;1083
5;ocean;6;1058
5;landfill;6;1056
5;ethics and compliance;6;1046
5;duty of vigilance;6;1044
5;regenerative agriculture;6;1035
5;grievance;6;1032
5;wellbeing;6;989
5;iso 14001;6;980
5;wind farm;6;976
5;dei;6;973
6;product safety;6;962
6;compliance management system;6;929
6;gdpr;6;927
6;child labor;6;917
6;accessibility;6;912
6;habitat;6;911
6;forced labor;6;911
6;volunteer;6;905
6;living wage;6;894
6;compliance function;6;882
6;green bond;6;875
6;responsible business;6;864
6;flood;6;857
6;mental health;6;857
6;social risk;6;847
6;speak up;6;844
6;sasb;6;823
6;sfdr;6;812
6;work-life balance;6;809
6;biomass;6;801
6;recyclable;6;800
6;training hour;6;794
6;fatalit\w+;6;776
6;regulatory compliance;6;773
6;compliance department;6;771
6;scenario analysis;6;768
6;human capital;6;763
