bloque;termino;n_muestras;ocurrencias
7;ifrs\s*s[12]\b;6;231
7;social indicator;6;229
7;tax transparency;6;224
7;heat wave;6;223
7;social compliance;6;222
7;volatile organic;6;220
7;fair competition;6;219
7;nature-based solution;6;202
7;supplier assessment;6;192
7;reskilling;6;192
7;life cycle assessment;6;190
8;soil health;6;165
8;wind turbine;6;157
8;first aid;6;157
8;agroforestry;6;153
8;wind energy;6;153
8;supply chain due diligence;6;147
8;fair wage;6;145
8;data breach;6;139
8;smeta;6;139
8;msci esg;6;135
8;green investment;6;131
8;fair compensation;6;131
8;microplastic;6;129
8;fatality;6;124
8;decarbonise;6;122
8;fair labor;6;120
8;recycled raw material;6;117
8;air pollutant;6;116
8;labor practices;6;115
8;racism;6;115
8;supply chain risk;6;112
8;fair trade;6;112
8;hydropower;6;110
8;sedex;6;108
8;tax avoidance;6;107
8;social norm;6;99
8;political contribution;6;90
8;chemical management;6;84
8;supply chain worker;6;84
8;issb;6;83
8;particulate matter;6;81
8;customer privacy;6;80
8;microfiber;6;77
8;iso\s*37001\b;6;77
8;cop28;6;75
8;compliance and ethics;6;68
8;iso 37001;6;68
8;better cotton;6;68
8;b corp;6;67
8;leather working group;6;65
8;employee wellbeing;6;64
8;fairtrade;6;60
8;supply chain audit;6;59
8;supply chain emission;6;57
8;compost;6;42
8;community relations;6;40
8;raw material sourcing;6;39
8;peatland;6;33
8;cover crop;6;32
8;raw material consumption;6;32
8;supply chain transparency;6;32
8;proxy statement;6;25
8;virgin polyester;6;17
8;board oversight;6;17
8;supply chain human right;6;13
8;supply chain footprint;6;10
8;cop 28;6;10
8;fair condition;6;9
8;scope\s+(?:one|two|three);3;3
8;supply chain ethics;3;3
8;living income;2;2
8;supply chain decarbonisation;1;1
8;supply chain labour;1;1
